"long_acc","lat_acc","SWP_deg","R","G","points","V_kmph","Pedal_acc","Pedal_brk","D_m_ori","Time","points_cal"
-0.00374640440259906,0.00089482183077567,5.85803544964649,0,0,0,0.468218224335875,0.6425,3.1152,0.0393389938424124,0.5,0
0.00308598469158086,-0.00352827540040807,7.31889817612988,0,0,0,0.221738519110003,0.675,3.0798,0.0840031504084592,1,0
0.001409067295294,-0.00339298829615707,7.31631357344657,0,0,0,0.0988463738497651,0.615,3.1211,0.103345562388611,1.5,0
-0.00522162014613731,0.00306847969491548,7.31132898255738,0,0,0,0.0391168609838911,0.69,3.186,0.112429661996791,2,0
0.00383836187285123,0.00270287270432902,7.31077513912525,0,0,0,0.0250404100862205,0.6,3.186,0.11704936050843,2.5,0
-0.00186018282877788,0.000721178015974276,7.31299051285378,0,0,0,0.0139132015970888,0.555,3.186,0.119484084387037,3,0
0.000600351343846549,-2.0139777211331e-05,7.31059052464787,0,0,0,0.00587717784815363,0.57,2.8674,0.120766657988236,3.5,0
-0.000177876064848516,-0.000374386611094079,7.31077513912525,0,0,0,0.00345043189904586,0.6,3.0444,0.121437263732805,4,0
-0.000265871563091049,-8.72234151482e-05,7.31299051285379,0,0,0,0.00217212767625401,0.6,3.186,0.121808740706932,4.5,0
0.000158208584195876,8.48499014001782e-07,7.31059052464787,0,0,0,0.0010446480620253,0.6,3.0798,0.122014819509751,5,0
-6.65607364930945e-05,2.3309387033738e-05,7.31077513912525,0,0,0,0.000515421380664158,0.6,2.832,0.122122353272358,5.5,0
-2.54440126341736e-05,1.94940202159059e-05,7.3119751332282,0,0,0,0.000345389483667159,0.6,2.9382,0.122182773228237,6,0
3.07100452236015e-05,3.50384038374298e-06,7.30717515681636,0,0,0,0.000200043627274194,0.6,2.9382,0.122218665498048,6.5,0
-1.6162482511107e-05,-2.07676540389867e-06,7.27846760558406,0,0,0,9.97932509716548e-05,0.63,3.009,0.122238039697801,7,0
4.56591646117296e-07,-2.12001367400223e-06,7.25548310315045,0,0,0,5.40251680898037e-05,0.645,3.0798,0.12224877032059,7.5,0
4.4457026262653e-06,-1.01087879683938e-06,7.24320624040479,0,0,0,3.74807542419973e-05,0.615,3.0798,0.122255239125251,8,0
-3.14094391955005e-06,-1.95268728502295e-08,7.23508320340016,0,0,0,2.04083272666905e-05,0.63,3.186,0.122258831997669,8.5,0
9.02775841871777e-07,2.38658621274638e-07,7.22843708221454,0,0,0,8.9522396088296e-06,0.63,3.1506,0.122260816081347,9,0
4.05554813276601e-07,1.58832684159253e-07,7.22769862430503,0,0,0,6.51136199921713e-06,0.645,3.186,0.122261958604188,9.5,0
-5.19823481188273e-07,4.23599221612246e-08,7.22889861840798,0,0,0,3.92268043708306e-06,0.645,3.0444,0.122262613809733,10,0
2.7641999842838e-07,-1.70912108814491e-08,7.23111399213651,0,0,0,1.74958731816101e-06,0.615,3.186,0.122262982904639,10.5,0
-1.4097071477756e-08,-2.05489203973998e-08,7.2072983118971,0,0,0,1.03673193642787e-06,0.6,3.0444,0.122263184590694,11,0
-6.80325202582221e-08,-1.52147362841503e-08,7.249113434105,0,0,0,7.01146211782671e-07,0.6,3.0798,0.122263301438343,11.5,0
5.68601363764186e-08,2.72194215633705e-09,7.51016048224257,0,0,0,3.55228686904991e-07,0.6,2.9028,0.122263369282662,12,0
-1.40413209154673e-08,3.93078046970151e-09,7.51366815731275,0,0,0,1.73101920897015e-07,0.6,3.0444,0.122263405597884,12.5,0
-6.61148440319849e-09,1.96681032589205e-09,7.52151427260133,0,0,0,1.18194672742473e-07,0.615,2.8674,0.122263426088582,13,0
1.05348815375984e-08,3.25724032650108e-10,7.52022197125966,0,0,0,6.67549136281312e-08,0.615,2.9382,0.122263438198008,13.5,0
-1.85134125465923e-09,-2.6689407561929e-09,7.58899116290413,0,0,0,3.14793487676659e-08,0.6,2.832,0.122263444583893,14,0
-2.37161777528902e-09,3.69193059397106e-09,7.73825253704741,0,0,0,2.40301733638472e-08,0.6,2.9382,0.122263448528818,14.5,0
1.22814631336101e-09,-9.84828269727962e-10,7.79142234607715,0,0,0,1.40208875669935e-08,0.48,3.1152,0.122263451080744,15,0
-4.1228226750575e-10,-5.72002047335626e-10,7.7868992913814,0,0,0,6.07394655723917e-09,0.555,2.832,0.122263452378572,15.5,0
-8.60133183709009e-12,2.24047304022709e-10,7.78976081578075,0,0,0,3.60264640377159e-09,0.63,2.6904,0.122263453055989,16,0
1.87410862135153e-10,-4.1792955166138e-10,7.79585309353424,0,0,0,2.16843060167878e-09,0.6,2.7258,0.12226345343412,16.5,0
-7.26170845454115e-06,-3.73059862240045e-06,7.80831457075727,0,0,0,0.00229477229645277,0.6,0.6018,0.122419939558347,17,0
5.31299932414484e-06,7.31951397785909e-07,7.82539140991476,0,0,0,0.000556261906731924,0.6,0.354,0.122626864615096,17.5,0
3.78481412647444e-06,1.11114134596445e-06,7.8258529461082,0,0,0,0.000171515562553475,0.6,0.354,0.122675851426956,18,0
-1.92779763055356e-06,7.65518198234045e-07,7.8258529461082,0,0,0,3.96980445308409e-05,0.6,0.354,0.12268733430211,18.5,0
6.56000451808029e-07,-3.40555031266592e-07,7.8258529461082,0,0,0,1.11726973730345e-05,0.6,0.354,0.122690158561427,19,0
-2.74834055701487e-07,1.43737028416884e-07,7.82326834342492,0,0,0,3.9763707928459e-06,0.665,0.354,0.122691029704626,19.5,0
-2.49869010893973e-09,1.55008006008485e-07,7.8258529461082,0,0,0,2.36992373899017e-06,4.4125,0.354,0.122691437674706,20,0
0.1046842451789,0.000636108452535157,7.8258529461082,0,0,0,0.0481049535017318,3.4025,0.354,0.123872629247641,20.5,0
0.95612197992807,0.00551753546814223,7.82345295790229,0,0,0,0.968873889192859,3.59,0.354,0.176175900484659,21,0
1.66309926158067,0.0115727745841199,7.81662222223931,0,0,0,3.41773898789088,2.845,0.354,0.470403067669889,21.5,0
1.36858182952865,0.0165280956694418,7.8036992088228,0,0,0,6.47775993971845,7.47,0.354,1.17043390170463,22,0
1.3582355457456,0.024466600911844,7.8036992088228,0,0,0,8.60641804344157,14.0775,0.354,2.2174058170696,22.5,0
1.61516714112362,0.037527193429637,7.8036992088228,0,0,0,11.3821692234054,16.755,0.354,3.6032812513402,23,0
1.6101863436966,0.0542297282671329,7.80240690748116,0,0,0,14.3542549092313,16.045,0.354,5.39439209108752,23.5,0
1.493369156403,0.0728802290629788,7.78394545974332,0,0,0,17.1457779547344,15.7325,0.354,7.58749075400799,24,0
1.30800057790724,0.0913325133978764,7.78191461511473,0,0,0,19.6636457611172,13.495,0.354,10.1518739247984,24.5,0
0.827116575841357,0.102638712152164,7.62296016982345,0,0,0,21.4585228329665,10.16,0.354,13.0185404258255,25,0
0.912882598481201,-0.100207395397682,-3.31071042641977,0,0,0,23.1274488177171,11.425,0.354,16.1152691283106,25.5,0
0.869770631858803,-0.394631947728638,-19.5982317448071,0,0,0,24.7626898685212,11.7925,0.354,19.4426640451502,26,0
0.525082668741316,-0.37995695171637,-20.1533706372488,0,0,0,25.9341273185705,9.335,0.354,22.9702425671417,26.5,0
0.545973418151363,0.0769954465123215,0.661108313935544,0,0,0,26.7532079601307,10.37,0.354,26.6281082864048,27,0
0.545868475467786,0.220741874454347,9.54683895109323,0,0,0,27.8479125751125,10.805,0.354,30.424852856353,27.5,0
0.487096727552034,0.172325094642323,7.72837556290067,0,0,0,28.79036615533,10.055,0.354,34.3610182863709,28,0
0.142002479744878,-0.0482907875664941,-1.37483190466844,0,0,0,29.1474658436028,8.5175,0.354,38.3923726682851,28.5,0
-0.0416943269775126,-0.119369420230888,-4.65341922570592,0,0,0,29.5677223281108,7.005,0.354,42.4769698676042,29,0
-0.311281057730179,-0.0962275399789611,-4.05452654560021,0,0,0,29.0396977622654,4.585,0.354,46.5480754918683,29.5,0
-0.311411359823046,-0.0856051233599912,-3.70624936323018,0,0,0,28.4783438730297,3.1325,0.354,50.5417230334881,30,0
-0.247730028688087,-0.0318887899453383,-1.56175517069729,0,0,0,27.934281683362,2.245,0.3186,54.4577164309738,30.5,0
0.377759951997874,0.0615106667763431,2.39114049945996,0,0,0,28.2530957429738,2.565,0.354,58.3455251439466,31,0
0.0218924424616996,0.0727596392262352,3.22255662215837,0,0,0,28.4073794238897,3.9725,0.354,62.2885862033415,31.5,0
0.0195030502113423,-0.102461415393747,-4.23443439345354,0,0,0,28.5791481233026,3.7275,0.354,66.2468247572042,32,0
-0.192534054179896,-0.619133467805182,-25.1127907782367,0,0,0,28.3921616402416,1.6675,0.354,70.2070766606569,32.5,0
-0.314354739882548,-0.830654611943463,-36.1414465547351,0,0,0,27.8973054605092,0.6,0.354,74.1177921776912,33,0
-0.28533648490918,-0.673356438817714,-31.5782107328315,0,0,0,27.3772122745894,0.8125,0.354,77.955049441112,33.5,0
-0.283810524650156,-0.106083642526981,-9.91708539323091,0,0,0,26.8779960326952,0.78,0.354,81.7223475748743,34,0
-0.288590159450234,0.299134483532324,12.5229336611329,0,0,0,26.363503444792,0.6875,0.354,85.4192146296059,34.5,0
-0.286904074987976,0.46494463165646,22.978449913273,0,0,0,25.8495289320921,0.645,0.354,89.0444327872392,35,0
-0.274923160002121,0.476241205446254,25.4257140818599,0,0,0,25.3527715771031,0.7225,0.354,92.5993222707071,35.5,0
-0.266475094530003,0.345938370743785,20.5523250272682,0,0,0,24.8757650606685,0.7475,0.354,96.0867541963889,36,0
-0.227849835438633,0.164019032634057,11.2162248966004,0,0,0,24.4264746598087,1.0775,0.354,99.5094615228849,36.5,0
-0.146108977476957,-0.176486475746074,-6.43311319211862,0,0,0,24.0657080875878,2.115,0.354,102.874987061736,37,0
0.155164173016734,-0.122794311801784,-7.04622118609311,0,0,0,24.1468741399942,4.65,0.354,106.216929452427,37.5,0
0.427872846683475,0.162895375473761,7.13225218088632,0,0,0,24.6337697617162,8.745,0.354,109.599286416189,38,0
0.760179030701335,0.223499179147429,12.7616415659877,0,0,0,25.8449101163661,13.4125,0.354,113.098946226758,38.5,0
0.712313387814647,0.191647183044785,10.8780092672806,0,0,0,27.1077021200254,12.8325,0.354,116.778694373389,39,0
0.587162683542591,0.0492381447866316,4.13695737932553,0,0,0,28.3292952068902,9.7775,0.354,120.632896520014,39.5,0
0.228799078198705,-0.0226506465344259,0.563908165494657,0,0,0,28.9106565898208,6.635,0.354,124.616958645943,40,0
0.821141365301226,0.0176696463021626,2.00233039322701,0,0,0,30.0017436876522,17.13,0.354,128.695456006897,40.5,0
0.770642376918347,0.0669717515922855,3.70264926708473,0,0,0,31.4060360463382,15.59,0.354,132.963038038216,41,0
