"long_acc","lat_acc","SWP_deg","R","G","points","V_kmph","Pedal_acc","Pedal_brk","D_m_ori","Time","points_cal"
0.00374753388689672,-2.5183076268378e-05,2.37046354992744,0,0,0,0.376953587526151,0.105,0.2832,0.0343264880532449,0.5,0
0.0019446504659038,3.08929890020925e-05,2.96307943740929,0,0,0,0.08860468898629,0.15,0.3186,0.0609225867644042,1,0
-0.00131397717691434,-2.55652907202963e-06,2.96307943740929,0,0,0,0.0210711183802809,0.15,0.354,0.0664510132441266,1.5,0
-0.000279539286525601,7.03202753631314e-07,2.96307943740929,0,0,0,0.00933112458120836,0.15,0.354,0.0682756867883751,2,0
-0.000474332660523583,-4.28648768323468e-07,2.96307943740929,0,0,0,0.00769938200527727,0.15,0.354,0.0694276155479888,2.5,0
-0.000386826238722231,-6.53910503952631e-07,2.96307943740929,0,0,0,0.0069380908946963,0.15,0.354,0.0704329041906643,3,0
-0.000353516725415714,-6.3666503119667e-07,2.96307943740929,0,0,0,0.00626275930550822,0.15,0.354,0.07134802948566,3.5,0
-0.000319254775093189,-6.35954449149315e-07,2.96307943740929,0,0,0,0.00566244971316389,0.15,0.354,0.0721747986961749,4,0
-0.000287610205937555,-5.77195269505479e-07,2.96307943740929,0,0,0,0.00511888833902422,0.15,0.354,0.0729222079761098,4.5,0
-0.000259941377770886,-5.27599448642379e-07,2.96307943740929,0,0,0,0.00462873272624202,0.15,0.354,0.0735979868053872,5,0
-0.000234673952429452,-4.77764223663906e-07,2.96307943740929,0,0,0,0.00418601704953477,0.15,0.354,0.0742090858284077,5.5,0
-0.000212020123505117,-4.32304865279039e-07,2.96307943740929,0,0,0,0.00378614064353047,0.12,0.354,0.0747617754417576,6,0
-0.000191570157243011,-3.91070317012381e-07,2.96307943740929,0,0,0,0.00342486539594047,0.15,0.354,0.075261697764687,6.5,0
-0.000173134543525601,-3.53621631586767e-07,2.96307943740929,0,0,0,0.00309838732364983,0.15,0.354,0.0757139414007228,7,0
-0.000156502315177921,-3.19789200879309e-07,2.96307943740929,0,0,0,0.00280329904474203,0.15,0.354,0.0761230944329751,7.5,0
-0.000141492208534261,-2.89202644785163e-07,2.96307943740929,0,0,0,0.00253653325877914,0.15,0.354,0.0764932962164719,8,0
-0.000127941761658987,-2.61565635056363e-07,2.96307943740929,0,0,0,0.00229533239653045,0.15,0.354,0.0768282823816227,8.5,0
-0.000115705346168131,-2.36594433282075e-07,2.96307943740929,0,0,0,0.00207721413501036,0.15,0.354,0.0771314253368311,9,0
-0.000104652624290729,-2.14029831635919e-07,2.96307943740929,0,0,0,0.00187994306773436,0.15,0.354,0.0774057704743806,9.5,0
-9.46666735913395e-05,-1.93635806550535e-07,2.96307943740929,0,0,0,0.00170150501963475,0.15,0.354,0.07765406861042,10,0
-8.56425607022092e-05,-1.7520106564711e-07,2.96307943740929,0,0,0,0.00154008431535618,0.15,0.354,0.0778788050774217,10.5,0
-7.74860273496097e-05,-1.5853413717984e-07,2.96307943740929,0,0,0,0.00139404351786015,0.135,0.354,0.0780822258357877,11,0
-7.01123403784449e-05,-1.43463649414984e-07,2.96307943740929,0,0,0,0.00126190536028307,0.15,0.354,0.0782663609298021,11.5,0
-6.34452792255652e-05,-1.29834357257136e-07,2.96307943740929,0,0,0,0.00114233661036097,0.15,0.354,0.0784330455732724,12,0
-5.74162417965167e-05,-1.17506902071655e-07,2.96307943740929,0,0,0,0.00103413364305719,0.15,0.354,0.0785839391171686,12.5,0
-5.19634392676543e-05,-1.06356106627575e-07,2.96307943740929,0,0,0,0.000936209527608559,0.15,0.354,0.0787205421224673,13,0
-4.70312065186784e-05,-9.62682779745592e-08,2.96307943740929,0,0,0,0.000847582454805061,0.15,0.354,0.0788442117360055,13.5,0
-4.25693478078982e-05,-8.71409520794459e-08,2.96307943740929,0,0,0,0.000767365361160704,0.15,0.354,0.0789561755451191,14,0
-3.85326176291218e-05,-7.88823318467898e-08,2.96307943740929,0,0,0,0.000694756609713418,0.15,0.354,0.0790575440672627,14.5,0
-3.48801647652757e-05,-7.14092629022361e-08,2.96307943740929,0,0,0,0.000629031625883773,0.15,0.354,0.0791493220138806,15,0
-3.15751562343354e-05,-6.46460598042208e-08,2.96307943740929,0,0,0,0.000569535367097665,0.15,0.354,0.0792324184526811,15.5,0
-2.85843077333061e-05,-5.85254502759508e-08,2.96307943740929,0,0,0,0.000515675561977595,0.15,0.354,0.0793076559792633,16,0
-2.58775769060365e-05,-5.29856444203648e-08,2.96307943740929,0,0,0,0.000466916611107039,0.15,0.354,0.0793757789972221,16.5,0
-2.34278369539696e-05,-4.79712490471436e-08,2.96307943740929,0,0,0,0.000422774102560579,0.15,0.354,0.0794374611956162,17,0
-2.12105545530047e-05,-4.34328130068969e-08,2.96307943740929,0,0,0,0.000382809868837288,0.15,0.354,0.0794933123032701,17.5,0
-1.91879449590463e-05,-3.92920268395487e-08,2.96307943740929,0,0,0,0.000346345648302128,0.15,0.354,0.0795442782013933,18,0
-1.73581012891454e-05,-3.5546085622137e-08,2.96307943740929,0,0,0,0.000313349584919467,0.15,0.354,0.0795904017347045,18.5,0
-1.5716297085968e-05,-3.21848114110773e-08,2.96307943740929,0,0,0,0.000283738389483601,0.15,0.354,0.0796317978668257,19,0
-1.42300253616045e-05,-2.91416497540945e-08,2.96307943740929,0,0,0,0.000256927725939887,0.15,0.354,0.0796692822802371,19.5,0
-1.28845176829152e-05,-2.63868501993103e-08,2.96307943740929,0,0,0,0.000232652330192251,0.15,0.354,0.0797032249031742,20,0
-1.16663994394508e-05,-2.38926834867242e-08,2.96307943740929,0,0,0,0.000210672139173748,0.12,0.354,0.0797339606301523,20.5,0
-1.05635780784738e-05,-2.16343938669943e-08,2.96307943740929,0,0,0,0.000190769879703967,0.15,0.3186,0.0797617926489438,21,0
-9.5651240044468e-06,-1.95898551767638e-08,2.96307943740929,0,0,0,0.000172748895904434,0.15,0.354,0.0797869954501677,21.5,0
-8.66113003871834e-06,-1.77386467533547e-08,2.96307943740929,0,0,0,0.00015643118394696,0.15,0.354,0.0798098175495922,22,0
-7.84264961768731e-06,-1.60626101791821e-08,2.96307943740929,0,0,0,0.000141655619316733,0.15,0.354,0.0798304839514093,22.5,0
-7.10157539732537e-06,-1.45448744771438e-08,2.96307943740929,0,0,0,0.000128276342566741,0.15,0.354,0.0798491983767646,23,0
