"long_acc","lat_acc","SWP_deg","R","G","points","V_kmph","Pedal_acc","Pedal_brk","D_m_ori","Time","points_cal"
0.00160730792213361,3.16091843443217e-05,-2.99077160901604,0,0,0,0.331106682151073,0.15,0.354,0.0301989395699063,0.5,0
0.00171605101821057,-3.42765025404705e-05,-3.73772605336053,0,0,0,0.0772578735592324,0.15,0.354,0.0534816005257068,1,0
-0.00119927721500524,2.95824301036067e-06,-3.73477222172248,0,0,0,0.0170896847570543,0.15,0.354,0.0581961425250599,1.5,0
-0.000245644952778303,-7.80898851037032e-07,-3.73347992038083,0,0,0,0.00555676880345611,0.15,0.354,0.0595153144901642,2,0
-0.000394522059034772,4.16554967492656e-07,-3.7329260769487,0,0,0,0.00382716125294996,0.15,0.354,0.060136498716873,2.5,0
-0.000298007415706083,6.17865796442653e-07,-3.7329260769487,0,0,0,0.00318846108396287,0.15,0.354,0.0606166974550845,3,0
-0.000255004905635828,5.63476498222792e-07,-3.73283376971001,0,0,0,0.00268289450154388,0.15,0.354,0.0610228404190103,3.5,0
-0.00021517082394186,5.37521806161018e-07,-3.73264915523263,0,0,0,0.00226542290013558,0.15,0.354,0.0613651938621566,4,0
-0.000181003253499954,4.58584011727068e-07,-3.73043378150409,0,0,0,0.00191208971078386,0.15,0.354,0.0616541749999181,4.5,0
-0.000152901820130067,3.89087377898947e-07,-3.72794148605948,0,0,0,0.0016145409716388,0.15,0.354,0.0618981562156859,5,0
-0.000128948131781617,3.30838839207866e-07,-3.72738764262735,0,0,0,0.00136342217614002,0.15,0.354,0.0621041734557812,5.5,0
-0.000108853408362789,2.79222007937045e-07,-3.72738764262735,0,0,0,0.00115150761061826,0.15,0.354,0.0622781608840114,6,0
-9.1887670282436e-05,2.36109542472269e-07,-3.72738764262735,0,0,0,0.000972632901592024,0.15,0.354,0.0624251131348254,6.5,0
-7.7583922060026e-05,1.99447232433888e-07,-3.72738764262735,0,0,0,0.000821613848266848,0.15,0.354,0.0625492432787813,7,0
-6.55159666857227e-05,1.6850515541475e-07,-3.72738764262735,0,0,0,0.000694094801039598,0.15,0.354,0.062654103904541,7.5,0
-5.53319477721892e-05,1.42122712584278e-07,-3.72627995576308,0,0,0,0.000586403558436958,0.15,0.354,0.0627426923465524,8,0
-4.67359314652481e-05,1.20597382859426e-07,-3.72452611822799,0,0,0,0.000495447033037859,0.15,0.354,0.0628175379821862,8.5,0
-3.94788144396127e-05,1.01564371708658e-07,-3.72286458793158,0,0,0,0.000418617308651844,0.15,0.354,0.0628807758069936,9,0
-3.33510886345429e-05,8.56310941160314e-08,-3.72212613002207,0,0,0,0.000353715061368659,0.15,0.354,0.0629342082722904,9.5,0
-2.81762593810587e-05,7.22803608992303e-08,-3.721849208306,0,0,0,0.000298884866192297,0.15,0.354,0.0629793573296426,10,0
-2.38056441561277e-05,6.11238753258758e-08,-3.721849208306,0,0,0,0.00025256100752184,0.105,0.3186,0.0630175082609709,10.5,0
-2.0113894933491e-05,5.16660713063791e-08,-3.721849208306,0,0,0,0.000213421936280123,0.105,0.354,0.0630497466084022,11,0
-1.69953062195219e-05,4.36637070680977e-08,-3.721849208306,0,0,0,0.000180351974886762,0.15,0.354,0.0630769893062659,11.5,0
-1.43607083270764e-05,3.68984520782359e-08,-3.721849208306,0,0,0,0.00015240909175816,0.15,0.354,0.0631000109349407,12,0
-1.21348548847101e-05,3.11808664535312e-08,-3.721849208306,0,0,0,0.000128797764417888,0.15,0.354,0.0631194658685986,12.5,0
-1.02542440828884e-05,2.56825698162312e-08,-3.72055690696436,0,0,0,0.000108846111413038,0.15,0.354,0.0631359069639935,13,0
-8.66523921682654e-06,2.23193668992957e-08,-3.71898768390664,0,0,0,9.19866279916733e-05,0.135,0.354,0.0631498013344857,13.5,0
-7.32259515179458e-06,1.84329634192382e-08,-3.71797230428106,0,0,0,7.77399407895538e-05,0.15,0.354,0.063161543667735,14,0
-6.18806863403438e-06,1.68062829590208e-08,-3.71686461741679,0,0,0,6.5701061916779e-05,0.15,0.354,0.0631714674696371,14.5,0
-5.22939051093505e-06,1.28042727517571e-08,-3.71686461741679,0,0,0,5.55278812907602e-05,0.15,0.354,0.06317985456005,15,0
-4.41927242619434e-06,1.12763222104256e-08,-3.71631077398465,0,0,0,4.69313420621225e-05,0.15,0.354,0.0631869430911796,15.5,0
-3.73468906041087e-06,9.55392068843053e-09,-3.71631077398465,0,0,0,3.96672422265628e-05,0.135,0.354,0.0631929343241414,16,0
