"Direction","config","R","G","CL","drv","V_200","V_100","V_PC","V_avg","V_sd","acc_min","loc_start","Remark","loc_max_speed","loc_min_speed","loc_max_speed_1","loc_min_speed_1","Reduction_zone","V_max","V_min","Speed_difference","V_max_tangent","V_min_curve","V_centre","MSR","V_delta","pedal_acc_max","pedal_acc_mean","pedal_acc_min","pedal_acc_sd","pedal_brk_max","pedal_brk_mean","pedal_brk_min","pedal_brk_sd","V_delta_200"
"BtoA",4,75,6,111,"drv25",76.2125374632579,74.7575536819688,71.1110442766466,67.529085519977,5.41455803664722,-0.374918281166667,25772.7762095464,"worked_2",25840.0932917048,26059.9421171471,67.3170821584026,287.165907600702,219.848825442299,75.4126660027243,65.0207282624496,10.3919377402747,90.8215547691762,62.6383218697218,65.8842281463861,28.1832328994544,8.87332553558269,31.875,22.8854748603352,18.75,4.6428707185529,0.354,0.348067039106145,0,0.0415290067526062,10.3283093168718
"BtoA",5,100,4,161,"drv25",79.4854351308529,77.5625608677787,72.9680880527436,62.4534576302763,12.6932319167829,-0.849666805416667,23849.7116381894,"worked_1",23883.7255112186,24457.027886912,34.0138730291983,607.3162487226,573.302375693402,79.2425622300867,32.9378285908213,46.3047336392654,90.8215547691762,59.3438388556543,65.247138740021,31.4777159135219,12.3154221277577,45.9,23.1291294642857,0.15,7.72413499742852,0.354,0.353209821428571,0.177,0.0118263099546248,14.2382963908319
"BtoA",6,100,-2,158,"drv25",88.5427417929046,90.3871029156683,89.704967461697,84.2793188871736,4.95788564545684,-0.303157517916667,23362.5452303122,"worked_1",23364.8327027517,23883.7255112186,2.28747243950056,521.180280906399,518.892808466899,88.5427417929046,79.2425622300867,9.30017956281789,90.8215547691762,79.3688814566639,84.1470018642746,11.4526733125123,6.24010105139369,16.05,8.311875,4.8,3.87940452661643,0.354,0.35289375,0.177,0.0139930786462451,4.39573992862999
"BtoA",7,100,-6,162,"drv25",80.7815916130542,87.6020207858292,85.9553527146529,81.526385726723,6.74279039399866,-2.60400956941667,22816.0039542631,"worked_2",22885.1759907773,23067.8408710811,69.1720365142028,251.836916818003,182.664880303801,86.2171654867109,67.5101019088505,18.7070635778604,89.9373829325334,67.0746535756494,71.3559130766636,22.862729356884,16.2461077091656,19.95,10.4805084745763,0,8.70955718666063,43.896,5.315,0.177,12.4236221565466,9.42567853639061
"BtoA",8,100,0,153,"drv25",75.5990663304947,77.5770489651462,74.5103663767755,76.2219617858906,1.74424264649715,-0.6671899165,22259.8212411252,"less_than_5",NA,NA,NA,NA,NA,NA,NA,NA,89.9373829325334,74.5103663767755,74.6181005827571,15.4270165557579,2.95894838238911,25.05,18.5339488636364,0.15,7.20458000383477,0.354,0.354,0.354,0,0.980965747737599
"BtoA",9,150,-6,229,"drv25",78.7706777603204,86.1295183820914,84.4450775262669,81.0222954596097,3.28387181683879,-0.234864904166667,20408.5868354197,"less_than_5",NA,NA,NA,NA,NA,NA,NA,NA,89.9373829325334,78.6540905368691,81.2475829454602,11.2832923956643,4.88193543663121,8.7,0.550128865979381,0.075,1.41393531188986,0.354,0.353087628865979,0.177,0.012707859407534,-2.4769051851398
"BtoA",10,150,0,233,"drv25",73.9721499060823,74.5306246922661,72.5234908441129,71.9794707254232,2.24894217639129,-0.58196078225,19750.5358167792,"less_than_5",NA,NA,NA,NA,NA,NA,NA,NA,89.9373829325334,68.455999476398,69.5757456852637,21.4813834561354,4.9548790070024,17.4,12.883407079646,0.675,3.05921941863074,0.354,0.351650442477876,0.177,0.0203020945778456,4.3964042208186
"BtoA",11,150,-2,233,"drv25",75.4780271576667,80.7912978885734,76.515067881009,73.7902772937073,3.66928718909582,-0.470728024166667,19071.1254391262,"worked_2",19191.6070290317,19373.9678834383,120.481589905499,302.8424443121,182.360854406601,81.9236255911726,68.7530972763223,13.1705283148503,89.9373829325334,68.3523117052167,69.3745347268809,21.5850712273167,11.4167631616925,20.7,7.71112334801762,0.15,6.27061380693241,0.354,0.353220264317181,0.177,0.0117479026153195,6.10349243078581
"BtoA",12,150,4,243,"drv25",76.3622976765369,76.3079225369043,74.8412514436367,73.1904617465369,2.15609562861616,-0.120707518,18339.4958615954,"less_than_5",NA,NA,NA,NA,NA,NA,NA,NA,89.9373829325334,70.7166469956625,72.4403312408824,19.2207359368709,3.8675912960219,21.15,20.5816304347826,19.2,0.184385129350429,0.354,0.34784347826087,0,0.0433271481811146,3.9219664356545
"BtoA",13,200,0,324,"drv25",86.8037733019113,81.4557134985117,71.1263517540439,71.82136096424,5.92051280257611,-0.651766168833333,16987.4666397579,"worked_1",16992.9495053443,17587.8506583034,5.48286558640029,600.384018545501,594.901152959101,86.9813381444046,71.1221056857683,15.8592324586363,89.9373829325334,66.306552589157,67.7103893814699,23.6308303433764,13.7453241170418,21.975,10.7383018867925,0,6.49603134551031,0.354,0.349992452830189,0,0.0342137878078094,19.0933839204414
"BtoA",14,200,4,289,"drv25",75.4718278912665,72.0387873928481,68.5969384203727,71.2958516440724,1.64920079758066,-0.4380873475,15875.8177546177,"less_than_5",NA,NA,NA,NA,NA,NA,NA,NA,89.9373829325334,68.5329764667722,70.2567785163818,21.4044064657612,1.78200887646631,29.1,24.9870786516854,15.075,4.51321854352414,0.354,0.352011235955056,0.177,0.018691295699679,5.2150493748847
"BtoA",15,200,6,311,"drv25",87.9163621908936,83.2527752090596,76.0102150435786,69.7845911344494,7.67241177554846,-0.493535216833333,14358.2339542908,"worked_1",14358.8949025946,14963.9112517143,0.660948303800978,605.677297423501,605.0163491197,87.9163621908936,64.051672709298,23.8646894815956,89.9373829325334,64.178817237201,65.0271728526785,25.7585656953324,18.2256023563811,51.45,29.018085106383,15.75,11.2120102365424,0.354,0.347723404255319,0.177,0.0327929135611473,22.8891893382151
"BtoA",16,200,-2,291,"drv25",85.0515643445454,85.8703419939625,85.3841900096966,81.1913315226042,3.33363979211588,-0.485084788666667,13145.7190324871,"less_than_5",NA,NA,NA,NA,NA,NA,NA,NA,89.798139553125,77.2186230695509,77.8187653190093,12.5795164835741,8.0515766749532,15.075,10.184693877551,0.15,4.02098496519587,0.354,0.353277551020408,0.177,0.0113081152004989,7.2327990255361
