"long_acc","lat_acc","SWP_deg","R","G","points","V_kmph","Pedal_acc","Pedal_brk","D_m_ori","Time","points_cal"
0.00284609217640026,2.85495636685724e-06,2.66677149366836,0,0,0,0.23277913825622,0.1275,0.3009,0.0476245374088246,1,0
-0.000796758231719972,-9.26663159199158e-07,2.96307943740929,0,0,0,0.0152011214807446,0.15,0.354,0.0673633500162509,2,0
-0.000430211775581724,-5.42226114018844e-07,2.96307943740929,0,0,0,0.00731553774784148,0.15,0.354,0.0699344837711865,3,0
-0.000336385750254452,-6.36309740172992e-07,2.96307943740929,0,0,0,0.00596260450933605,0.15,0.354,0.0717614140909174,4,0
-0.00027377579185422,-5.52397359073929e-07,2.96307943740929,0,0,0,0.00487381053263312,0.15,0.354,0.0732600973907485,5,0
-0.000223347037967285,-4.55034544471472e-07,2.96307943740929,0,0,0,0.00398607884653262,0.135,0.354,0.0744854306350827,6,0
-0.000182352350384306,-3.72345974299574e-07,2.96307943740929,0,0,0,0.00326162635979515,0.15,0.354,0.0754878195827049,7,0
-0.000148997261856091,-3.04495922832236e-07,2.96307943740929,0,0,0,0.00266991615176058,0.15,0.354,0.0763081953247235,8,0
-0.000121823553913559,-2.49080034169219e-07,2.96307943740929,0,0,0,0.00218627326577041,0.15,0.354,0.0769798538592269,9,0
-9.96596489410344e-05,-2.03832819093227e-07,2.96307943740929,0,0,0,0.00179072404368456,0.15,0.354,0.0775299195424003,10,0
-8.15642940259095e-05,-1.66867601413475e-07,2.96307943740929,0,0,0,0.00146706391660816,0.1425,0.354,0.0779805154566047,11,0
-6.67788098020051e-05,-1.3664900333606e-07,2.96307943740929,0,0,0,0.00120212098532202,0.15,0.354,0.0783497032515373,12,0
-5.46898405320855e-05,-1.11931504349615e-07,2.96307943740929,0,0,0,0.000985171585332873,0.15,0.354,0.0786522406198179,13,0
-4.48002771632883e-05,-9.17046150270025e-08,2.96307943740929,0,0,0,0.000807473907982882,0.15,0.354,0.0789001936405623,14,0
-3.67063911971987e-05,-7.5145797374513e-08,2.96307943740929,0,0,0,0.000661894117798596,0.15,0.354,0.0791034330405717,15,0
-3.00797319838207e-05,-6.15857550400858e-08,2.96307943740929,0,0,0,0.00054260546453763,0.15,0.354,0.0792700372159722,16,0
-2.46527069300031e-05,-5.04784467337542e-08,2.96307943740929,0,0,0,0.000444845356833809,0.15,0.354,0.0794066200964191,17,0
-2.01908918651414e-05,-4.13453092365808e-08,2.96307943740929,0,0,0,0.000364427079972456,0.15,0.354,0.0795190058552165,18,0
-1.65371991875567e-05,-3.38654485166071e-08,2.96307943740929,0,0,0,0.000298543987201534,0.15,0.354,0.0796110998007651,19,0
-1.35572715222599e-05,-2.77642499767024e-08,2.96307943740929,0,0,0,0.000244790028066069,0.15,0.354,0.0796862535917056,20,0
-1.11149887589623e-05,-2.27635386768592e-08,2.96307943740929,0,0,0,0.000200721009438858,0.135,0.3363,0.0797478766395481,21,0
-9.11312702158257e-06,-1.86642509650592e-08,2.96307943740929,0,0,0,0.000164590039925697,0.15,0.354,0.0797984064998799,22,0
-7.47211250750634e-06,-1.53037423281629e-08,2.96307943740929,0,0,0,0.000134965980941737,0.15,0.354,0.0798398411640869,23,0
-6.1268083801591e-06,-1.25486752047107e-08,2.96307943740929,0,0,0,0.000110676161291883,0.15,0.354,0.0798738184782225,24,0
-5.02384621294979e-06,-1.02898501139407e-08,2.96307943740929,0,0,0,9.07595585750345e-05,0.15,0.3363,0.079901681164595,25,0
-4.11954402767594e-06,-8.43762580178944e-09,2.96307943740929,0,0,0,7.44285058932969e-05,0.1425,0.354,0.0799245300725538,26,0
-3.37807345433172e-06,-6.91915888547682e-09,2.96307943740929,0,0,0,6.10373618321585e-05,0.15,0.354,0.0799432677996447,27,0
-2.77010779988737e-06,-5.67390493306389e-09,2.96307943740929,0,0,0,5.00568608569691e-05,0.15,0.354,0.0799586344325657,28,0
-2.2715803891145e-06,-4.65282335980083e-09,2.96307943740929,0,0,0,4.10531171819069e-05,0.1425,0.3363,0.0799712368361729,29,0
-1.86279577816197e-06,-3.81553811420742e-09,2.96307943740929,0,0,0,3.36704194256884e-05,0.15,0.354,0.0799815726591902,30,0
-1.52758610710166e-06,-3.12883803245403e-09,2.96307943740929,0,0,0,2.76171476522856e-05,0.15,0.354,0.0799900500117534,31,0
-1.25270727003877e-06,-2.56605377507746e-09,2.96307943740929,0,0,0,2.26542222266055e-05,0.15,0.354,0.0799970035979624,32,0
-1.02729306213105e-06,-2.10412899984471e-09,2.96307943740929,0,0,0,1.85856498103552e-05,0.15,0.354,0.0800027079425301,33,0
-8.42445707442438e-07,-1.72569729018472e-09,2.96307943740929,0,0,0,1.52507671041885e-05,0.1425,0.3363,0.0800073882376747,34,0
-6.90865389096004e-07,-1.41509092188873e-09,2.96307943740929,0,0,0,1.25178920824318e-05,0.15,0.354,0.0800112292384287,35,0
-5.66553616434434e-07,-1.16054856066369e-09,2.96307943740929,0,0,0,1.0279115833286e-05,0.15,0.354,0.0800143825594975,36,0
-4.64617967085117e-07,-9.84810811807287e-10,2.96298712661321,0,0,0,8.44603288805767e-06,0.15,0.354,0.0800169726619713,37,0
-3.8101950559286e-07,-7.5427663041913e-10,2.96307943740929,0,0,0,6.94626564822917e-06,0.1425,0.3363,0.0800191017664217,38,0
-3.12464262158177e-07,-6.34447470804184e-10,2.96307943740929,0,0,0,5.72055324483604e-06,0.15,0.354,0.0800208538866108,39,0
-2.56243834972561e-07,-5.23752031345041e-10,2.96307943740929,0,0,0,4.72044642280946e-06,0.15,0.354,0.0800222981381266,40,0
-2.10137453096207e-07,-4.30416673754013e-10,2.96307943740929,0,0,0,3.90634552641986e-06,0.15,0.354,0.0800234914580687,41,0
-1.72332973134884e-07,-3.52768826277487e-10,2.96307943740929,0,0,0,3.24590674731922e-06,0.135,0.3363,0.0800244808336428,42,0
-1.41324536552224e-07,-2.89719659210535e-10,2.96307943740929,0,0,0,2.71270871473781e-06,0.15,0.354,0.0800253051253288,43,0
-1.15897524852917e-07,-2.37756467202113e-10,2.96307943740929,0,0,0,2.28511868554208e-06,0.15,0.354,0.0800259965491468,44,0
-9.50453665993276e-08,-1.94930318636419e-10,2.96307943740929,0,0,0,1.94532111518034e-06,0.15,0.354,0.0800265818676566,45,0
-7.79433877462004e-08,-1.60100903735134e-10,2.96307943740929,0,0,0,1.67846819658821e-06,0.15,0.354,0.0800270833284493,46,0
-6.39216046927528e-08,-8.75524459080939e-11,2.96280250502105,0,0,0,1.47189984633044e-06,0.15,0.354,0.0800275193757688,47,0
-5.24199280723125e-08,-1.47142029496997e-10,2.96307943740929,0,0,0,1.3148889780632e-06,0.1425,0.354,0.080027905222048,48,0
-4.29890893902079e-08,-8.45977824595077e-11,2.96298712661321,0,0,0,1.19761777525424e-06,0.1425,0.354,0.0800282532219981,49,0
-3.52547029234554e-08,-8.03220619428778e-11,2.96307943740929,0,0,0,1.11178252700323e-06,0.15,0.354,0.0800285732375631,50,0
-2.89121776179786e-08,-6.17066045471323e-11,2.96307943740929,0,0,0,1.05005321761167e-06,0.15,0.354,0.0800288729384254,51,0
-2.38201787820627e-08,3.68517384636061e-09,2.96307943740929,0,0,0,1.00548877866509e-06,0.15,0.354,0.080029158134726,52,0
-1.97422790382021e-08,4.53349432476991e-08,2.96307943740929,0,0,0,8.78164421941013e-07,0.15,0.354,0.0800294226332129,53,0
-1.57706223759794e-08,2.97916406986492e-08,2.96307943740929,0,0,0,7.19518706598292e-07,0.15,0.354,0.0800296437939279,54,0
-1.29350656046179e-08,2.2952769946245e-08,2.96307943740929,0,0,0,5.88867964013277e-07,0.14875,0.354,0.080029824635958,55,0
-1.09462115678588e-08,2.45412257022752e-08,2.96307943740929,0,0,0,4.9209345154841e-07,0.13625,0.354,0.0800299735022815,56,0
-9.06762666456158e-09,2.5268870013935e-08,2.96280250502105,0,0,0,4.16333712834863e-07,0.15,0.354,0.0800300997173579,57,0
-7.3294334918478e-09,2.11607673666255e-08,2.96307943740929,0,0,0,3.48788910276828e-07,0.15,0.354,0.0800302056370958,58,0
-6.10121714378343e-09,1.82106870394465e-08,2.96280250502105,0,0,0,2.90645746008695e-07,0.1425,0.3363,0.0800302942261169,59,0
-5.05960904584098e-09,1.49894605274701e-08,2.96307943740929,0,0,0,2.46131339906973e-07,0.15,0.354,0.0800303685135414,60,0
-4.23765747315883e-09,1.27421487801664e-08,2.96307943740929,0,0,0,2.02916127126133e-07,0.1425,0.354,0.0800304305575379,61,0
-3.33098919299897e-09,1.04893653311187e-08,2.96307943740929,0,0,0,1.7164546259572e-07,0.1125,0.354,0.0800304823515726,62,0
-2.80908341911994e-09,7.79954276238826e-09,2.96307943740929,0,0,0,1.42369516849458e-07,0.15,0.2832,0.0800305258484558,63,0
-2.23355284737854e-09,9.73660247653137e-09,2.96280250502105,0,0,0,1.20906652632687e-07,0.15,0.3186,0.0800305623952602,64,0
-1.92626129607953e-09,7.74924106764489e-09,2.96307943740929,0,0,0,9.96382190683462e-08,0.15,0.354,0.0800305929482654,65,0
-1.63327540500253e-09,3.47851811172644e-09,2.96307943740929,0,0,0,8.49385009013158e-08,0.15,0.354,0.0800306185153424,66,0
-1.3039982081287e-09,5.75373085993155e-09,2.96280250502105,0,0,0,7.0784939695049e-08,0.14375,0.354,0.0800306400875475,67,0
-1.09971476603405e-09,4.51332051678276e-09,2.96280250502105,0,0,0,6.0913861265233e-08,0.15,0.354,0.0800306581958859,68,0
-8.76049301355285e-10,2.12936973423251e-09,2.96298712661321,0,0,0,5.29019369141644e-08,0.15,0.354,0.0800306739531027,69,0
